user_id,conversations,company_name
115712,"Customer: @sprintcare is the worst customer service
Company: @115712 I would love the chance to review the account and provide assistance.",sprintcare
115712,"Customer: @sprintcare is the worst customer service
Company: @115712 Can you please send us a private message, so that I can gain further details about your account?
Customer: @sprintcare I did.
Company: @115712 Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile.
Customer: @sprintcare I have sent several private messages and no one is responding as usual
Company: @115712 I understand. I would like to assist you. We would need to get you into a private secured link to further assist.
Customer: @sprintcare and how do you propose we do that
Customer: @sprintcare the only way I can get a response is to tweet apparently",sprintcare
115712,"Customer: @sprintcare is the worst customer service
Company: @115712 Hello! We never like our customers to feel like they are not valued.",sprintcare
115712,"Customer: @115714 @sprintcare how can I get in touch with someone that matters at Spring Corporate
Company: @115712 Just click ‘Message’ at the top of your profile. We're always here and eager to assist.
Customer: @sprintcare I've sent several private messages!!! and no one responds!
Company: @115712 Do you have a good contact number where you can be reached?
Customer: @sprintcare I sent it twice now to apparently noone!",sprintcare
115712,"Customer: @115714 @sprintcare how can I get in touch with someone that matters at Spring Corporate
Company: @115712 Do you have a good contact number where you can be reached? Please send through the private link.",sprintcare
115712,Customer: @115714 @sprintcare how can I get in touch with someone that matters at Spring Corporate,
115712,"Customer: @116447 - And the issue is still not fixed!  No one can help!  All the info I get is wrong!  I have been a customer for 12 yrs! https://t.co/MQIImu0yiR
Company: @115712 I understand how frustrating this is and I'm here to assist. I do apologize that I'm not showing the contact number or private message.
Customer: @sprintcare I am not surprised because nothing works when it comes to sprint!
Customer: @sprintcare complete ineptness!
Company: @115712 Please DM your contact number and Team @116447 will reach out asap to get this resolved.",sprintcare
115713,"Customer: @115714 y’all lie about your “great” connection. 5 bars LTE, still won’t load something. Smh.
Company: @115713 H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA
Customer: @sprintcare Since I signed up with you....Since day 1
Company: @115713 We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA
Customer: @sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯
Company: @115713 This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC
Company: @115713 I would really like to work with you to have this resolved. Kindly send us a DM. I'm here for you! -ResolutionSup SR
Company: @115713 Hi, my name is Shantel, I'm a resolution supervisor here with Sprint. Your issues was brought to my attention.  1/2 -ResolutionSup SR",sprintcare
115715,"Customer: @115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried https://t.co/0G98RtNxPK
Company: @115715 Please send me a private message so that I can send you the link to access your account. -FR",sprintcare
115716,"Customer: actually that's a broken link you sent me and incorrect information https://t.co/V4yfrHR8VI
Company: @115716 The information pertaining to the account assumption is correct.  This does need to be done at a local outlet wit... https://t.co/P7XCmTzPQj
Customer: @Ask_Spectrum That is INCORRECT information I have the form in front of me that is faxed over-maybe you need to maintain up to date information
Company: @115716 What information is incorrect? ^JK
Customer: @Ask_Spectrum Would you like me to email you a copy of one since Spectrum is not updating your training?
Company: @115716 Our department is part of the corporate office.  If you're particular area has gone to this format, we were unawa... https://t.co/P7XCmTzPQj
Customer: @Ask_Spectrum I received this from your corporate office would you like a copy?
Company: @115716 No thank you. ^JK
Customer: @Ask_Spectrum The correct way to do it is via an OCS Account Takeover and email Consent Form it does not need to be done in a local office",Ask_Spectrum
